"","x"
"1553047_at",0.0466077835602345
"1553048_a_at",0
"1553051_s_at",0.00720131335923712
"1553052_at",2.8792158703665e-05
"1553053_at",0.000939679602277201
"1553055_a_at",0.101816614825633
"1553057_at",0.00308603512783638
"1553058_at",0.000831458283420464
"1553059_at",0
"1553060_at",0.00376141302663114
"1553061_at",0
"1553062_at",0.0276183285293142
"1553063_at",0.000146758001700347
"1553064_at",0.00161978035048132
"1553066_at",0
"1553067_a_at",0.00075186256648992
"1553069_at",0
"1553070_a_at",0
"1553071_a_at",0
"1553072_at",0
"1553074_at",0
"1553075_a_at",0
"1553076_at",0
"1553077_at",0
"1553078_at",0
"1553079_at",0.000386944277976936
"1553080_at",0
"1553081_at",0
"1553082_at",0
"1553083_at",0
"1553084_at",0
"1553086_at",0
"1553087_at",0.000309356992635273
"1553088_a_at",0.0182751111042467
"1553089_a_at",0.000822821589629589
"1553093_a_at",0.000105652380703221
"1553094_at",0.00562245751606723
"1553096_s_at",0.118616443051339
"1553099_at",0.0294519179387265
"1553101_a_at",0.345765966823973
"1553102_a_at",0.288811160853928
"1553103_at",0.128564171047539
"1553105_s_at",0
"1553106_at",0.0420333729120925
"1553107_s_at",0.0919690454002032
"1553108_at",0.009089884628323
"1553111_a_at",0.090764402184088
"1553112_s_at",0.0762940842798856
"1553113_s_at",0.0154562553430926
"1553114_a_at",0.111215143609889
"1553115_at",0
"1553117_a_at",0.371468039150548
"1553118_at",0.232527482726637
"1553120_at",0
"1553122_s_at",0.00833565650791433
"1553123_at",0.0460896594262705
"1553125_x_at",0.0427085970303068
"1553126_a_at",0
"1553127_a_at",0.000808712220919785
"1553129_at",0
"1553130_at",0.126329329221364
"1553131_a_at",0.000381263348528607
"1553132_a_at",0.0295312065633177
"1553133_at",0.0490741415685718
"1553134_s_at",0
"1553136_at",0.00628971086489398
"1553137_s_at",0.00125122937779122
"1553138_a_at",4.39420815344254e-05
"1553139_s_at",0
"1553140_at",0.000947424530084292
"1553141_at",0
"1553142_at",0
"1553145_at",0.169039457051429
"1553146_at",0
"1553147_at",0
"1553148_a_at",0.171551728636574
"1553150_at",0
"1553151_at",0
"1553153_at",0.00367979662808762
"1553155_x_at",0.110459834230787
"1553156_at",5.47729651760655e-05
"1553157_at",0
"1553158_at",0.202457041500824
"1553159_at",0.0305119132319759
"1553162_x_at",0.0157035216446357
"1553163_at",0
"1553165_at",0.0949862728409613
"1553166_at",0
"1553167_a_at",0.0103571057262348
"1553168_at",0
"1553169_at",0
"1553171_x_at",0
"1553172_at",0.0172109093498321
"1553174_at",0
"1553175_s_at",0
"1553176_at",0
"1553177_at",0.0387522893766379
"1553178_a_at",0
"1553179_at",0.000758146139615528
"1553180_at",0
"1553181_at",0
"1553183_at",0
"1553185_at",0.363367624719141
"1553186_x_at",0.295034576336714
"1553188_s_at",0
"1553190_s_at",0.0189537069974054
"1553191_at",0.00182707370922423
"1553192_at",0.000224733414110061
